station_cd,station_g_cd,station_name,line_cd,pref_cd,post,add,lon,lat,conect1,conect2,conect3,conect4,conect5,conect6,conect7,conect8,conect9,conect10,conect11,conect12,conect13,conect14,conect15,conect16,conect17,conect18,conect19,conect20,conect21,conect22,conect23,conect24,conect25,conect26,conect27,conect28,conect29,conect30,conect31,conect32,conect33,conect34,conect35,conect36,conect37,conect38,conect39,conect40,conect41,conect42,conect43,conect44,conect45,conect46,conect47,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,cost11,cost12,cost13,cost14,cost15,cost16,cost17,cost18,cost19,cost20,cost21,cost22,cost23,cost24,cost25,cost26,cost27,cost28,cost29,cost30,cost31,cost32,cost33,cost34,cost35,cost36,cost37,cost38,cost39,cost40,cost41,cost42,cost43,cost44,cost45,cost46,cost47
1110315,1110315,札�,11103,1,060-0806,札幌市北区北６条西��丁目,141.350768,43.068612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120266,1120120,青森,11202,2,038-0012,青森市柳川１丁目,140.734738,40.828668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121101,1123185,盛岡,11211,3,020-0034,盛岡市盛岡駅前�,141.136599,39.701547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121701,1123143,仙台,11217,4,980-0021,仙台市青葉区中央一丁目1-1,140.882158,38.260027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121460,1120228,秋田,11214,5,010-0001,秋田市中通７丁目,140.129931,39.716748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121618,1121618,山形,11216,6,990-0039,山形市香澔���丁目,140.327253,38.248098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123124,1123124,福島,11231,7,960-8031,福島市�_��,140.45968,37.754123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122901,1122901,取手,11229,8,302-0014,取手市中央町,140.063004,35.89553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134001,1131923,宽宮,11340,9,321-0965,宽宮市川向町,139.898389,36.559246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134101,1131816,高�,11341,10,370-0849,高崎市�島町,139.012354,36.322239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100401,1131906,大宮,21004,11,330-0853,さいたま市大宮区錦町,139.624458,35.907599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100435,1131331,船�,21004,12,273-0005,船橋市本町��丁目,139.98436,35.7021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400101,1130208,新宿,24001,13,160-0023,東京都新宿区西新宿一丁目1-4,139.699187,35.690163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600121,1130105,横�,26001,14,220-0011,横浜市西区高島��丁目,139.622299,35.466372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140442,1140442,新�,11404,15,950-0086,新潟市中央区花園１丁目,139.060869,37.912299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141644,1140501,富山,11416,16,930-0001,富山市�輪町,137.213091,36.701384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942601,1141543,金沢,99426,17,920-0023,金沢市北安江町,136.648166,36.578117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131131,1131131,甲�,11311,19,400-0031,甲府市丸の内１丁目,138.569015,35.667054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140305,1140305,長�,11403,20,380-0921,長野市大字�_�田��０３８番地,138.189101,36.643307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141601,1141601,岐�,11416,21,500-8856,岐�市橋本町��丁目,136.756514,35.409532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150118,1150118,静岡,11501,22,420-0851,静岡市葵区黒��町,138.388579,34.971629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150233,1141101,名古�,11502,23,450-0002,名古屋市中村区名駅１丁目��番,136.881637,35.170694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151004,1151004,津,11510,24,514-0009,津市羽所町,136.510486,34.73422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160101,1141501,米�,11601,25,521-0012,米原市米�,136.289992,35.314657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160120,1160120,京都,11601,26,600-8216,京都市下京区烏丸通塩小路下ル東塩小路町,135.757748,34.985465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160214,1160214,大阪,11602,27,530-0001,大阪市北区梅田��丁目,135.495188,34.702398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160313,1160313,三ノ宮,11603,28,651-0097,神戸市中央区帼�町,135.195058,34.694766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160704,1160704,奈良,11607,29,630-8122,奈良市三条本町,135.818935,34.680482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162635,1162635,和歌山,11626,30,640-8331,和歌山市美園町,135.191454,34.232436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170401,1161619,鳥�,11704,31,680-0835,鳥取市東品治町,134.225901,35.493953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
